Nr_Pairs = 50
Nr_NDD = 0
Nr_Arcs = 233
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
(0,5),1,11
(0,37),1,69
(0,41),1,63
(0,42),1,87
(1,5),1,79
(1,26),1,70
(1,34),1,67
(1,39),1,52
(1,40),1,44
(2,16),1,17
(2,29),1,82
(3,6),1,52
(3,7),1,56
(3,9),1,69
(3,29),1,54
(3,33),1,44
(4,17),1,83
(4,20),1,24
(4,25),1,15
(4,40),1,69
(4,45),1,96
(5,35),1,91
(6,1),1,69
(6,25),1,16
(6,31),1,41
(6,32),1,42
(7,11),1,44
(7,17),1,44
(7,37),1,13
(7,47),1,94
(8,7),1,53
(8,27),1,78
(8,28),1,83
(8,29),1,16
(8,42),1,44
(8,47),1,85
(9,0),1,64
(9,6),1,19
(9,29),1,87
(10,3),1,76
(10,7),1,17
(10,12),1,47
(10,13),1,51
(10,15),1,18
(10,21),1,98
(10,34),1,31
(10,38),1,68
(11,9),1,69
(11,10),1,37
(11,22),1,90
(11,23),1,40
(11,37),1,51
(11,40),1,82
(11,41),1,77
(12,15),1,6
(12,16),1,50
(12,24),1,88
(12,39),1,9
(13,38),1,53
(13,39),1,66
(13,44),1,46
(13,48),1,32
(14,8),1,12
(14,11),1,94
(14,17),1,3
(14,22),1,87
(14,28),1,42
(14,39),1,72
(14,42),1,95
(14,43),1,50
(15,6),1,9
(15,19),1,93
(15,36),1,72
(16,6),1,14
(16,14),1,49
(16,31),1,19
(16,37),1,6
(16,38),1,2
(16,40),1,99
(17,5),1,52
(17,12),1,76
(17,15),1,100
(17,18),1,2
(17,21),1,51
(17,35),1,30
(18,5),1,96
(18,16),1,92
(19,6),1,91
(19,29),1,51
(19,34),1,86
(19,46),1,81
(20,43),1,73
(21,0),1,15
(21,47),1,51
(21,48),1,23
(22,7),1,90
(22,10),1,27
(22,17),1,30
(22,20),1,51
(22,24),1,70
(22,43),1,15
(22,44),1,35
(23,0),1,71
(23,10),1,94
(23,11),1,38
(23,20),1,66
(23,31),1,62
(23,32),1,49
(23,42),1,73
(23,45),1,37
(23,49),1,18
(24,6),1,24
(24,9),1,39
(24,10),1,99
(24,16),1,54
(24,17),1,55
(24,32),1,24
(24,34),1,95
(24,48),1,49
(25,18),1,33
(25,30),1,36
(25,36),1,7
(26,7),1,31
(26,9),1,47
(26,17),1,85
(26,43),1,96
(27,10),1,84
(27,31),1,5
(27,42),1,54
(28,19),1,59
(28,20),1,8
(28,31),1,53
(28,40),1,74
(29,2),1,70
(29,16),1,20
(29,32),1,63
(29,34),1,82
(29,42),1,34
(29,43),1,86
(30,1),1,97
(30,6),1,13
(30,27),1,21
(31,23),1,6
(31,43),1,56
(32,12),1,78
(32,33),1,96
(32,39),1,67
(33,5),1,67
(33,18),1,90
(33,27),1,59
(33,46),1,84
(34,0),1,92
(34,11),1,92
(34,13),1,22
(34,27),1,1
(34,30),1,43
(34,31),1,55
(35,3),1,20
(35,42),1,64
(35,46),1,13
(35,47),1,57
(36,3),1,95
(36,17),1,92
(36,18),1,40
(36,23),1,66
(36,27),1,21
(36,29),1,77
(36,34),1,57
(37,13),1,83
(37,18),1,8
(37,19),1,5
(38,0),1,76
(38,25),1,39
(38,39),1,23
(38,44),1,37
(39,15),1,4
(39,26),1,78
(39,27),1,47
(39,49),1,23
(40,8),1,9
(40,17),1,64
(40,38),1,89
(41,3),1,38
(41,18),1,16
(41,34),1,46
(41,42),1,66
(41,46),1,34
(42,26),1,66
(42,30),1,84
(42,34),1,8
(42,36),1,70
(42,49),1,75
(43,2),1,55
(43,9),1,77
(43,10),1,6
(43,31),1,36
(43,35),1,66
(43,49),1,53
(44,11),1,10
(44,12),1,31
(44,13),1,71
(44,18),1,2
(44,26),1,2
(44,27),1,18
(44,29),1,39
(44,46),1,100
(44,47),1,72
(45,1),1,87
(45,9),1,7
(45,27),1,98
(45,35),1,53
(45,37),1,56
(45,40),1,23
(45,44),1,1
(47,0),1,7
(47,7),1,33
(47,15),1,97
(47,32),1,47
(48,11),1,75
(48,19),1,31
(48,21),1,89
(48,29),1,26
(48,41),1,33
(48,42),1,65
(48,47),1,35
(49,1),1,62
(49,9),1,81
(49,21),1,4
(49,26),1,1
(49,29),1,32
(49,33),1,56
(49,43),1,55
(49,48),1,7
